feature_file,model_type,time_lag,AIC,train_MSE,test_MSE
TokyoElectron-fulltext-featuredata.csv,linear,0,-327.12049679492196,3557717.7802695986,31940707.934634715
TokyoElectron-fulltext-featuredata.csv,linear,12,-325.8158562255524,3568348.430391722,32320395.003302325
TokyoElectron-fulltext-featuredata.csv,linear,24,-311.53214593203586,3592907.6152291615,31789768.209535405
TokyoElectron-fulltext-featuredata.csv,linear,36,-317.3176740447085,3591576.376391191,31406211.90143943
TokyoElectron-fulltext-featuredata.csv,linear,48,-316.34098033292037,3631801.6195332315,31356372.177866556
TokyoElectron-fulltext-featuredata.csv,linear,60,-299.6105654112306,3676093.919823735,31459724.845427305
TokyoElectron-fulltext-featuredata.csv,linear,72,-303.4357979022269,3564740.2410283242,31284497.80984135
TokyoElectron-fulltext-featuredata.csv,linear,84,-317.06567496026184,3296963.037670842,30124642.866751816
TokyoElectron-fulltext-featuredata.csv,linear,96,-318.35681453814254,3043123.378510035,27720142.64908908
TokyoElectron-fulltext-featuredata.csv,linear,108,-343.6400724191398,2560572.7780694985,24423545.67571261
TokyoElectron-fulltext-featuredata.csv,linear,120,-334.80565094689314,2324538.391236152,21039957.005128294
TokyoElectron-abstract-featuredata.csv,linear,0,-327.75091172357713,3552279.0495926715,32071962.662333038
TokyoElectron-abstract-featuredata.csv,linear,12,-322.60352554338823,3516664.463005625,31699045.391950738
TokyoElectron-abstract-featuredata.csv,linear,24,-318.37559921454397,3482782.640813148,31334156.642733112
TokyoElectron-abstract-featuredata.csv,linear,36,-321.36943932028726,3539904.425846349,30666812.162986517
TokyoElectron-abstract-featuredata.csv,linear,48,-313.68523246593486,3617746.47969913,30933766.74200165
TokyoElectron-abstract-featuredata.csv,linear,60,-303.2559719434142,3596766.6308427555,30970207.087623995
TokyoElectron-abstract-featuredata.csv,linear,72,-309.089868034177,3480400.5938025396,30936869.215306018
TokyoElectron-abstract-featuredata.csv,linear,84,-319.39350299282233,3220379.048954516,29550249.512656134
TokyoElectron-abstract-featuredata.csv,linear,96,-319.91357225304705,3001682.7561104093,27390932.26512807
TokyoElectron-abstract-featuredata.csv,linear,108,-352.3806542414974,2508702.8321623183,24461185.485971965
TokyoElectron-abstract-featuredata.csv,linear,120,-340.7881874042611,2275132.22415547,21038954.69620635
TokyoElectron-fullwabstract-featuredata.csv,linear,0,-325.0180801046582,3600262.004711779,32440319.43441416
TokyoElectron-fullwabstract-featuredata.csv,linear,12,-321.0641281361517,3551524.4448474683,32218527.123354375
TokyoElectron-fullwabstract-featuredata.csv,linear,24,-313.87328293426674,3495742.233721932,31260136.214816477
TokyoElectron-fullwabstract-featuredata.csv,linear,36,-320.22506556172857,3517537.7015075684,30685341.336894132
TokyoElectron-fullwabstract-featuredata.csv,linear,48,-314.9767249353343,3532063.8634829563,30501752.628025007
TokyoElectron-fullwabstract-featuredata.csv,linear,60,-304.9323708433333,3535404.3982188986,30401981.69033076
TokyoElectron-fullwabstract-featuredata.csv,linear,72,-304.8239917063389,3490224.631585027,30750768.99726453
TokyoElectron-fullwabstract-featuredata.csv,linear,84,-316.0335143596436,3245164.7930111527,29551084.163886122
TokyoElectron-fullwabstract-featuredata.csv,linear,96,-318.06236723776215,3007165.792798032,27503161.974065732
TokyoElectron-fullwabstract-featuredata.csv,linear,108,-347.43924935842267,2517930.203076562,24251066.48435893
TokyoElectron-fullwabstract-featuredata.csv,linear,120,-340.2733565707821,2292208.6399224466,20806424.787704658
